	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000284740.1	1	0	2	0	3	2	3	0
ENSG00000197785.13	853	105	592	108	703	297	814	313
ENSG00000205090.8	11	0	9	1	6	0	8	8
ENSG00000160075.11	2991	327	2177	634	3371	1179	2530	1441
ENSG00000215014.4	19	0	27	2	9	5	28	3
ENSG00000274481.1	0	0	0	0	0	0	0	0
ENSG00000228594.3	102	0	102	2	48	1	78	1
ENSG00000272106.1	125	1	113	8	68	8	66	14
ENSG00000197530.12	653	31	666	82	606	92	913	110
ENSG00000189409.13	6	0	1	1	0	0	7	6
ENSG00000248333.8	461	104	382	125	421	313	493	351
ENSG00000272004.1	3	1	1	0	0	0	0	0
ENSG00000189339.11	633	18	829	39	642	56	956	124
ENSG00000269737.2	0	0	2	0	1	0	0	0
ENSG00000215914.4	0	0	0	0	0	0	0	0
ENSG00000008128.22	9	1	6	4	5	1	6	10
ENSG00000268575.1	8	1	13	1	4	0	6	5
ENSG00000227775.3	0	1	0	0	0	0	1	0
ENSG00000215790.6	15	1	30	2	14	2	28	0
ENSG00000008130.15	1215	68	1117	176	1437	343	1349	453
ENSG00000078369.17	9789	957	8812	1983	9518	2866	8590	4371
ENSG00000231050.1	6	0	9	3	3	0	3	0
ENSG00000169885.9	2	0	3	0	6	0	7	0
ENSG00000178821.12	38	2	34	2	28	4	49	0
ENSG00000142609.17	6	0	2	1	2	0	0	1
ENSG00000233542.1	0	0	0	0	0	0	0	0
ENSG00000187730.8	0	0	0	0	1	0	1	0
ENSG00000226969.1	0	0	0	1	0	0	1	0
ENSG00000067606.16	327	37	321	49	365	120	373	94
ENSG00000271806.1	1	0	0	0	0	0	0	0
ENSG00000182873.5	43	0	31	3	16	2	17	0
ENSG00000162585.16	1051	36	860	91	791	123	927	103
ENSG00000234396.3	0	0	0	0	0	0	0	0
ENSG00000157933.9	2152	57	1897	133	2559	194	2631	225
ENSG00000116151.13	129	15	125	20	92	44	114	24
ENSG00000272161.1	0	0	0	0	0	0	0	0
ENSG00000269896.2	30	0	32	1	13	2	12	0
ENSG00000272420.1	8	0	3	1	4	0	8	0
ENSG00000157916.19	3015	322	2383	598	3403	1236	2863	1911
ENSG00000157911.9	859	33	751	75	934	193	866	145
ENSG00000149527.17	15	3	7	1	10	6	12	1
ENSG00000224387.1	0	0	0	0	0	0	0	0
ENSG00000229393.1	0	0	0	0	0	0	0	0
ENSG00000157881.13	106	15	62	23	102	93	90	103
ENSG00000197921.5	0	0	0	0	0	0	0	0
ENSG00000272449.1	0	0	0	0	0	0	0	0
ENSG00000238164.6	0	0	0	0	0	0	0	0
ENSG00000157873.17	16	1	26	2	14	7	11	2
ENSG00000225931.3	0	0	0	0	0	0	0	0
ENSG00000228037.1	0	0	0	0	0	0	0	0
ENSG00000157870.14	90	19	45	28	64	65	74	113
ENSG00000142606.15	1	0	0	0	0	0	0	0
ENSG00000237058.1	0	0	0	0	0	0	0	0
